2025-11-24 14:48:43.245 [tick=4234437] [pid=19024] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=19024 | fire sent
2025-11-24 14:48:43.470 [tick=4234656] [pid=2060] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:43.470 [tick=4234656] [pid=2060] [INFO] [WorkerHost] pid=2060 | start
2025-11-24 14:48:43.740 [tick=4234921] [pid=2060] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=2060 | fire start
2025-11-24 14:48:43.747 [tick=4234937] [pid=2060] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=2060 | fire sent
2025-11-24 14:48:43.988 [tick=4235171] [pid=15756] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:43.989 [tick=4235171] [pid=15756] [INFO] [WorkerHost] pid=15756 | start
2025-11-24 14:48:44.257 [tick=4235437] [pid=15756] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=15756 | fire start
2025-11-24 14:48:44.263 [tick=4235453] [pid=15756] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=15756 | fire sent
2025-11-24 14:48:44.507 [tick=4235687] [pid=13268] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:44.507 [tick=4235687] [pid=13268] [INFO] [WorkerHost] pid=13268 | start
2025-11-24 14:48:44.772 [tick=4235953] [pid=13268] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=13268 | fire start
2025-11-24 14:48:44.778 [tick=4235968] [pid=13268] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=13268 | fire sent
2025-11-24 14:48:45.000 [tick=4236187] [pid=1948] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:45.001 [tick=4236187] [pid=1948] [INFO] [WorkerHost] pid=1948 | start
2025-11-24 14:48:45.272 [tick=4236453] [pid=1948] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=1948 | fire start
2025-11-24 14:48:45.278 [tick=4236468] [pid=1948] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=1948 | fire sent
2025-11-24 14:48:45.507 [tick=4236687] [pid=4036] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:45.507 [tick=4236687] [pid=4036] [INFO] [WorkerHost] pid=4036 | start
2025-11-24 14:48:45.771 [tick=4236953] [pid=4036] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=4036 | fire start
